排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B07DCJ8B3S,Ganador优质狗干粮15kg,Ganador,4.8,1657,659.0,5000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
2,B0153V4AOM,Nupec成年小型犬粮，含Omega 3和6，8kg装,Nupec,4.8,15697,1182.29,7000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
3,B0CYXKNB1Y,MESVIER 犬用胸背带（中大型小型通用）带1.5米牵引绳，可调节反光透气防爆冲，适合散步旅行训练,MESVIER,4.7,9501,249.0,400,亚马逊官方(上月购买量),2024-04-13,27,43,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
4,B08JSG74RV,Ganador Premium Superfoods 20kg 中型和大型成年犬粮,Ganador,4.6,2879,990.0,5000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
5,B00NABTC8M,Amazon Basics 黑色狗粪便袋（带分配器），300只（20卷），无泄漏设计，无香，附牵引绳夹,Amazon Basics,4.9,249519,197.1,700,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTC8M,True
6,B09R93SSD5,Purina Beneful成年犬全犬种光彩健康三文鱼味10kg,Purina,4.8,4286,527.2,3000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
7,B0CXYTC8WM,胜者狗干粮20kg,Ganador,4.7,1670,725.0,4000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
8,B0153V49XO,Nupec 成年小型犬狗粮，含Omega-3和Omega-6，2公斤装,Nupec,4.8,8494,355.2,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
9,B0153V41AU,Nupec 成年犬狗粮含Omega 3和6 - 1包x15公斤,,4.8,7955,1726.92,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V41AU,False
10,B01N30FXOM,Purina Dog Chow 成年迷你小型犬粮 牛肉鸡肉味 7.5kg,,4.8,4891,336.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01N30FXOM,False
11,B018M8AR90,Dry Pet狗狗训练垫30片装,Dry Pet,4.6,3742,159.81,1000,亚马逊官方(上月购买量),2016-05-06,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
12,B0DM9Q93RR,Fancy Pets 三文鱼油 犬猫通用 490ml | 含Omega 3 DHA和EPA | 健康皮肤、亮泽毛发、增强免疫力补充剂,Medical Solutions,4.5,2002,259.0,1000,亚马逊官方(上月购买量),2024-11-07,20,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
13,B01MQFPHMN,Ganador 优质成犬粮 20千克，小型犬，黑色。包装可能有所不同。,Ganador,4.7,2565,996.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
14,B003CL6Q84,希尔思科学饮食成年小型及迷你犬粮，小型成年犬鸡肉味7kg，帮助建立长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25247,960.0,1000,亚马逊官方(上月购买量),2013-07-08,156,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
15,B0CF4BLG83,Dogelthy Mobility 犬用软骨保护补充剂（含葡萄糖胺、软骨素和UCII型胶原蛋白粉末），可添加至狗粮或生骨肉饮食中，270克（鱼肉味）,Dogelthy,4.6,2080,1067.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安德奥科坦/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
16,B0153V7ZTO,普瑞纳成年犬粮中型大型犬牛肉鸡肉味7.5kg,Dog Chow,4.8,4100,336.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
17,B0CF63JSS9,Dogelthy 纯三文鱼油450毫升。犬用Omega-3三文鱼油，每份含300毫克EPA+DHA。犬用鱼油补充剂，可用于狗粮或生骨肉饮食。,Dogelthy,4.7,2998,579.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
18,B01N0AG6OF,Ganador Premium幼犬粮20kg，中大型犬。包装可能不同。,Ganador,4.7,4762,906.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
19,B07XZHXZW4,HI MULTI PRO 成年犬优质狗粮 25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6535,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,129,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/彭哈莫/KM 63 伊拉普阿托 - 拉彼达公路,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
20,B0B1W1ZZGQ,Churu Inaba 猫用奶油零食，混合4种金枪鱼口味，低卡路里，50支x14g,INABA,4.9,1488,619.0,2000,亚马逊官方(上月购买量),2023-10-29,32,18,Amikoo Peek,第三方,,,FBA,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
21,B09R916GQ3,普瑞纳倍赋成年犬牛肉味狗粮10kg,WeTap,4.8,2636,529.0,2000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
22,B071HPBSHV,Amazon Basics - 公狗纸尿裤，30片装，小号，超吸收一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32187,480.17,700,亚马逊官方(上月购买量),2017-10-23,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
23,B00EJXIZ60,Earth Rated 狗屎袋，120个装，8卷无味,Earth Rated,4.9,16708,89.5,1000,亚马逊官方(上月购买量),2014-02-23,149,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00EJXIZ60,True
24,B01FKNX3FU,胜利者成犬小型犬粮20kg蓝色,Ganador,4.8,1520,773.0,1000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
25,B0BBSK2RSM,宝路高蛋白成年犬粮，24袋，猪肉牛肉味，每袋85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,615,196.45,600,亚马逊官方(上月购买量),2022-08-24,47,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSK2RSM,True
26,B07TGKCWWP,Dry Pet 小型狗尿布 12片装,Fancy Pets,4.5,1452,131.53,400,亚马逊官方(上月购买量),2019-06-25,85,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
27,B07PY5FGR1,Cloralex宠物除异味 3.75升,Cloralex,4.8,2468,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
28,B0CDYQ5BRL,Purina Dog Chow成犬多蛋白粮 全犬种 牛肉、鸡肉、三文鱼、猪肉和火鸡味 10kg,Dog Chow,4.9,360,399.9,600,亚马逊官方(上月购买量),2023-08-07,35,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYQ5BRL,True
29,B0153V3ZEI,Nupec 狗粮，成犬幼犬适用，含维生素E和硒，5公斤装。,Nupec,4.8,9493,638.91,300,亚马逊官方(上月购买量),2015-09-01,130,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3ZEI,True
30,B0153V43UI,Nupec 狗粮，成年犬，含Omega 3和6，5公斤装,Nupec,4.8,4005,721.13,600,亚马逊官方(上月购买量),2015-09-01,130,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
31,B0118VV13O,希尔思天然训练软嚼零食，犬用训练奖励，90克,Hill's,4.7,3889,110.0,500,亚马逊官方(上月购买量),2016-06-24,121,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
32,B016C6EJ4S,Amazon Basics 狗和幼犬吸水垫，五层防漏设计，快速干燥，训练用，71x86厘米（超大号），40片装，蓝白,Amazon Basics,4.5,216899,496.29,300,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B016C6EJ4S,True
33,B08NWZD6MS,,,,,,,,,,,,,,,,https://www.amazon.com.mx/dp/B08NWZD6MS,False
34,B01FVRF920,Barkys 80136100614 肉干棒 1千克，小号，1件,BARKYS,4.8,1553,204.94,1000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
35,B0CG33JYQC,中小大型犬安全胸背带含1.5米牵引绳（品红，M）,UNA MASCOTA,4.6,1271,192.72,50,亚马逊官方(上月购买量),2023-08-19,35,64,COMERSTAT,第三方(墨西哥),墨西哥,墨西哥/06000/墨西哥城/墨西哥城/中心区（1区）/拉萨罗·卡德纳斯中央大道119 商铺2 3,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
36,B08TH7LVQK,耐用舒适宠物狗床，柔软填充，尺寸颜色可选（小号，黑色/灰色）,PETS APPAREL HILLS,4.6,10367,269.1,100,亚马逊官方(上月购买量),2021-01-20,66,48,I Jacket,第三方(墨西哥),墨西哥,墨西哥/06090/墨西哥城/夸乌特莫克/内萨瓦尔科约特尔/158号 202室,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,True
37,B01FUDI7OC,Nupec 犬粮，体重控制，针对超重或肥胖犬的营养配方，15公斤装。,Nupec,4.8,3932,2199.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,Selectashop,第三方(墨西哥),墨西哥,墨西哥/01729/墨西哥城/墨西哥城/阿尔坎塔里利亚/德西埃尔托德洛斯莱昂内斯 5547 INT B605,,https://www.amazon.com.mx/dp/B01FUDI7OC,True
38,B0CN7CRSLH,Raganet 宠物罩，汽车座椅套、沙发套，适合狗和猫，用于后座、后备箱或沙发，尺寸：137*147*40cm，防水（全黑）,Raganet,4.3,1656,298.0,500,亚马逊官方(上月购买量),,,2,Raga Basics,第三方(墨西哥),墨西哥,MX/52790/MEXICO/HUIXQUILUCAN DE DEGOLLADO/Dos Rios/Avenida Vicente Guerrero,FBA,https://www.amazon.com.mx/dp/B0CN7CRSLH,True
39,B0BKK4GQTM,Raganet 宠物托运包，适用于猫狗，最大承重10公斤，尺寸42×20×25厘米，旅行及车载背包，黑色,Raganet,4.6,1225,209.0,400,亚马逊官方(上月购买量),2022-10-25,45,3,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥/韦克斯基卢坎德德戈利亚多/多斯里奥斯/维森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0BKK4GQTM,True
40,B01M8G9HYE,Nupec PENU7138 - AAAAAA 狗狗放松零食，180克（包装可能不同）,Nupec,4.6,5412,108.0,1000,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
41,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5188,1999.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,La tienda de sugar,第三方,,,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
42,B08WLPDWV6,Barkys 狗零食饼干 含Omega-3和Omega-6 2.5kg,Cowjag,4.8,957,282.0,900,亚马逊官方(上月购买量),2021-02-15,65,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08WLPDWV6,True
43,B075N8M4BQ,Cesar 狗粮袋，菲力牛排原汁味，24袋，每袋75克,Cesar,4.7,789,236.0,400,亚马逊官方(上月购买量),2017-09-11,106,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075N8M4BQ,True
