排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V4AOM,Nupec 小型犬成犬狗粮，含Omega 3和6，8公斤装。,Nupec,4.8,15740,1192.0,5000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B0CYXKNB1Y,MESVIER 中小型大型犬胸背带牵引绳1.5米，可调节反光透气宠物胸背，防拽狗狗胸背带，适用于散步旅行训练犬只配件,MESVIER,4.7,9786,249.0,300,亚马逊官方(上月购买量),2024-04-13,29,51,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
3,B0B1W1ZZGQ,伊纳宝啾噜猫条，金枪鱼4种口味混合装，低卡路里，50支装14g,INABA,4.9,1666,577.15,4000,亚马逊官方(上月购买量),2023-10-29,35,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
4,B0CXYTC8WM,Ganador 狗粮 20kg,Ganador,4.7,1759,722.96,3000,亚马逊官方(上月购买量),2024-03-13,30,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
5,B08JSG74RV,Ganador Premium Superfoods 20kg，中大型成年犬粮。,Ganador,4.6,2896,989.0,3000,亚马逊官方(上月购买量),2020-09-22,72,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
6,B0153V49XO,Nupec 小型犬成犬狗粮，含Omega 3和6，2公斤装。,Nupec,4.8,8543,349.0,3000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
7,B07DCJ8B3S,Ganador Premium 狗干粮 15kg,Ganador,4.8,1753,729.99,3000,亚马逊官方(上月购买量),2024-05-09,29,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
8,B09R93SSD5,普瑞纳Beneful成犬全犬种亮泽健康三文鱼味10公斤,Purina,4.8,4259,527.0,3000,亚马逊官方(上月购买量),2022-01-26,56,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B01MQFPHMN,Ganador Premium 成犬 20 kg，小型犬，黑色。包装可能有所不同,Ganador,4.7,2600,980.0,3000,亚马逊官方(上月购买量),2016-11-08,119,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
10,B07284NRTH,Amazon Basics 狗粪袋，带分配器，绿色，810个（54卷），防漏加强，无香型，含牵引绳夹,,4.9,8117,335.57,,,,,,,,,,,https://www.amazon.com.mx/dp/B07284NRTH,False
11,B0153V7ZTO,普瑞纳康多乐成犬中型及大型犬牛肉鸡肉味7.5kg,Dog Chow,4.8,4146,329.0,4000,亚马逊官方(上月购买量),2016-11-24,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
12,B01N30FXOM,普瑞纳康多乐成年小型犬牛肉鸡肉味狗粮 7.5Kg,Dog Chow,4.8,4929,329.0,5000,亚马逊官方(上月购买量),2017-01-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
13,B07XZHXZW4,HI MULTI PRO 成犬优质粮 25kg，含益生菌和高生物价蛋白质,,4.6,6561,1000.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B07XZHXZW4,False
14,B0153V41AU,Nupec 成犬狗粮 含Omega-3和Omega-6 - 1袋 x 15kg,Nupec,4.8,7947,1729.0,2000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
15,B01N0AG6OF,Ganador Premium 幼犬粮 20 kg，适合中大型犬。包装可能有所不同,Ganador,4.7,4801,969.0,2000,亚马逊官方(上月购买量),2016-11-08,119,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
16,B0D43R8KKL,Fancy Pets MS 犬猫三文鱼油 250ml - Omega 3 含 DHA 和 EPA - 皮肤健康、毛发光亮、强化免疫,Medical Solutions,4.5,2137,189.0,1000,亚马逊官方(上月购买量),2024-05-13,28,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
