排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B01N30FXOM,普瑞纳康多乐成犬小型犬迷你犬牛肉鸡肉味 7.5公斤,Dog Chow,4.8,4915,268.05,5000,亚马逊官方(上月购买量),2017-01-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
2,B0CXYTC8WM,Ganador 狗干粮 20kg,Ganador,4.7,1752,679.0,3000,亚马逊官方(上月购买量),2024-03-13,30,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
3,B0153V4AOM,Nupec 小型犬成犬粮，含Omega 3和6，8公斤装,Nupec,4.8,15717,1192.0,5000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
4,B0B1W1ZZGQ,伊纳宝Churu猫条 金枪鱼4种口味混合 低热量 50支装 14g/支,INABA,4.9,1640,577.15,3000,亚马逊官方(上月购买量),2023-10-29,35,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
5,B08JSG74RV,Ganador Premium Superfoods 20kg，中大型成年犬粮。,Ganador,4.7,2885,989.0,2000,亚马逊官方(上月购买量),2020-09-22,72,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
6,B0CYXHFXNW,MESVIER 小型中型大型犬用胸背带配1.5米牵引绳，可调节反光透气宠物胸背，防爆冲狗狗胸背带，适用于散步旅行训练宠物配件,MESVIER,4.7,9795,249.0,200,亚马逊官方(上月购买量),2024-04-13,29,51,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXHFXNW,True
7,B07DCJ8B3S,甘多犬用干粮 高级装 15kg,Ganador,4.8,1745,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
8,B00NABTGY2,Amazon Basics 狗便袋，带分配器，黑色，900只（60卷），升级防漏，无香，含牵引绳夹,Amazon Basics,4.9,236437,349.21,1000,亚马逊官方(上月购买量),2025-01-11,20,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTGY2,True
9,B09R93SSD5,普瑞纳Beneful成犬全尺寸亮泽健康三文鱼味10公斤,Purina,4.8,4255,527.0,3000,亚马逊官方(上月购买量),2022-01-26,56,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
10,B0153V49XO,Nupec 小型成犬狗粮，含Omega 3和6，2公斤装。,Nupec,4.8,8529,348.98,3000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
11,B01MQFPHMN,Ganador Premium 成犬 20公斤，小型犬，黑色。包装可能有所不同,Ganador,4.7,2593,980.0,3000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
12,B01N0AG6OF,Ganador Premium 幼犬粮 20 kg，中型和大型犬用。包装可能有所不同,Ganador,4.7,4798,969.0,2000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
13,B07XZHXZW4,HI MULTI PRO 成犬优质狗粮 25公斤，含益生菌和高生物价蛋白质,HI MULTI PRO,4.6,6555,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,131,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩尼亚莫/伊拉普阿托 - 拉皮耶达公路63公里处,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
14,B0153V7ZTO,普瑞纳康多乐成犬中型大型犬牛肉鸡肉味 7.5Kg,Dog Chow,4.8,4134,329.0,4000,亚马逊官方(上月购买量),2016-11-24,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
15,B0153V41AU,Nupec 成犬狗粮 含 Omega 3 和 6 - 1袋 x 15公斤,Nupec,4.8,7942,1780.0,2000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
16,B0DM9Q93RR,Fancy Pets Medical Solutions 犬猫用三文鱼油 490ml | 含DHA和EPA的Omega-3 | 健康皮肤、亮泽毛发与强健免疫补充剂,Medical Solutions,4.5,2121,312.96,1000,亚马逊官方(上月购买量),2024-11-07,22,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
17,B0CF63JSS9,"Dogelthy纯三文鱼油 犬用Omega 3,6,9鲑鱼油",Dogelthy,4.7,3068,579.0,1000,亚马逊官方(上月购买量),2023-08-09,37,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科州/萨波潘市/5月5日延长段 #15 内6 圣胡安德奥科坦社区,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
18,B0FSYB4CW1,2只装狗狗可调节耳罩，黑色，护耳头套，静音安抚设计，洗澡美容用,OSALOLO,4.1,36,259.0,200,亚马逊官方(上月购买量),2025-09-27,12,3,Bestway-to-go,第三方(中国),中国,中国/518100/广东/龙岗/深圳/泊亭智寓C09/坂田街道马安堂社区中兴路河背工业区11号,FBA,https://www.amazon.com.mx/dp/B0FSYB4CW1,True
19,B071HPBSHV,Amazon Basics - 公犬尿布，30片装，小号，超强吸水一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32176,364.9,600,亚马逊官方(上月购买量),2017-10-23,107,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
20,B0CF4BLG83,Dogelthy犬用关节保护粉状营养补充剂,Dogelthy,4.6,2105,1067.0,900,亚马逊官方(上月购买量),2023-08-09,37,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/五月五日延长段 #15 内6 圣胡安德奥科坦社区,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
21,B003CL6Q84,希尔思科学配方小型及迷你成犬鸡肉味狗粮 7kg,Hill's Science Diet,4.8,10764,1344.0,1000,亚马逊官方(上月购买量),2013-07-08,158,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
22,B0CK32S653,Waggys三文鱼狗零食，天然无谷物狗狗奖励，100粒,Waggys,4.6,684,135.5,1000,亚马逊官方(上月购买量),2023-09-28,36,2,Waggy´s!,品牌方(墨西哥),墨西哥,MX/44520/哈利斯科/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
23,B09R916GQ3,普瑞纳Beneful成犬原味牛肉味10公斤,WeTap,4.8,2639,527.0,2000,亚马逊官方(上月购买量),2022-01-26,56,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
24,B0153V43UI,Nupec 狗粮，成犬，含Omega 3和6，5公斤装。,Nupec,4.8,4024,678.0,700,亚马逊官方(上月购买量),2015-09-01,133,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
25,B0F96F3XWF,King Dog & Cat 宠物狗训练尿垫 Clean Pet，40片，60×60厘米，6层超强吸收，卫生呵护狗狗,King Dog & Cat,4.8,13,295.0,1000,亚马逊官方(上月购买量),,,1,Zeitex,第三方(墨西哥),墨西哥,MX/52764/MEXICO/HUIXQUILUCAN DE DEGOLLADO/AVENIDA JESUS DEL MONTE 39 PISO 2B JESUS DEL MONTE,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
26,B0185OQ6VO,Dry Pet 宠物训练垫 - 50片,Dry Pet,4.6,3744,298.0,900,亚马逊官方(上月购买量),2016-02-29,127,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0185OQ6VO,True
27,B09WP12B7N,宝路 - 狗用湿粮包，羊肉味肉丝，含天然成分、蛋白质和纤维，24包，每包100克,Pedigree,4.8,804,200.15,900,亚马逊官方(上月购买量),2022-03-28,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09WP12B7N,True
28,B08TH7LVQK,狗床，耐用，舒适，带柔软填充，尺寸和颜色可选（小号，黑色/灰色）,PETS APPAREL HILLS,4.6,10458,269.1,100,亚马逊官方(上月购买量),2021-01-20,68,50,I Jacket,第三方(墨西哥),墨西哥,墨西哥/06090/墨西哥城/夸乌特莫克/内萨瓦尔科约特尔/158 公寓202,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,True
29,B01FUDI7OC,Nupec 体重控制狗粮，超重或肥胖犬营养配方，15公斤装,Nupec,4.8,3937,2409.68,700,亚马逊官方(上月购买量),2016-05-18,124,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,True
30,B07TGKCWWP,Fancy Pets 宠物狗一次性尿垫 | 超强吸收 | 12片装 | 适用于失禁、训练和发情期 | 舒适可调节,Fancy Pets,4.5,1248,137.61,500,亚马逊官方(上月购买量),2019-06-25,87,10,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
31,B01FUDI7F6,Nupec 老年犬狗粮，15公斤装,Nupec,4.8,5204,2032.14,800,亚马逊官方(上月购买量),2016-05-18,124,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7F6,True
32,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪狗狗零食,Dogelthy,4.4,91,215.1,300,亚马逊官方(上月购买量),2024-08-23,25,6,Dogelthy,品牌方(墨西哥),墨西哥,MX/45019/Jalisco/Zapopan/Prolongación 5 de Mayo #15 Interior 6 Colonia San Juan de Ocotan,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
