排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B01N30FXOM,Dog Chow Purina 成犬 小型犬粮 牛肉鸡肉味 7.5Kg,,4.8,4907,258.97,,,,,,,,,,,https://www.amazon.com.mx/dp/B01N30FXOM,False
2,B0153V7ZTO,普瑞纳成犬中大型犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4123,336.0,2000,亚马逊官方(上月购买量),2016-11-24,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
3,B0153V4AOM,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 8 kg.",,4.8,15698,1157.98,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V4AOM,False
4,B00NABTG60,"Amazon Basics - Bolsas para excremento de perro, con dispensador, Negro, 600 unidades (40 rollos), mejoradas para garantizar que no haya fugas, sin fragancia, incluye clip para correa",,4.9,236023,238.18,,,,,,,,,,,https://www.amazon.com.mx/dp/B00NABTG60,False
5,B07DCJ8B3S,Ganador Premium 狗干粮 15kg,Ganador,4.8,1730,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
6,B0CYXKNB1Y,MESVIER 狗胸背带 大中小型犬通用 配1.5米牵引绳，可调节反光透气胸背，防爆冲 遛狗旅行训练狗狗配件,MESVIER,4.7,9708,249.0,300,亚马逊官方(上月购买量),2024-04-13,29,49,MESVIER,品牌方(中国),中国,CN/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
7,B01MQFPHMN,"Ganador Premium Adulto 20 kg, Razas Pequeñas, Negro. El empaque puede variar",,4.8,2578,919.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01MQFPHMN,False
8,B09R93SSD5,Purina Beneful Adulto Todos los tamaños Salud Radiante Sabor Salmón 10Kg,,4.8,4246,527.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B09R93SSD5,False
9,B0CXYTC8WM,Alimento seco para Perro Ganador 20kg,Ganador,4.7,1728,897.88,3000,亚马逊官方(上月购买量),2024-03-13,30,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
10,B08JSG74RV,"Ganador Premium Superfoods 20kg, Alimento para Perros Adultos de Razas Medianas y Grandes.",Ganador,4.7,2880,1074.0,2000,亚马逊官方(上月购买量),2020-09-22,71,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
11,B01N0AG6OF,"Ganador Premium Cachorro 20 kg, Razas Medianas y Grandes. El empaque puede variar",Ganador,4.7,4785,909.0,2000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
12,B0153V41AU,Nupec Croquetas para Perro Adulto con Omega 3 y 6 - 1 pack x 15 kg,,4.8,7939,1729.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V41AU,False
13,B0D43R8KKL,"Fancy Pets MS Aceite de Salmon para Perros y Gatos 250ml - Omega 3 con DHA y EPA - Piel Sana, Pelaje Brillante y Sistema Inmune Fuerte",Medical Solutions,4.5,2084,149.0,1000,亚马逊官方(上月购买量),2024-05-13,28,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
14,B0153V49XO,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 2 kg.",Nupec,4.8,8516,400.96,3000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
15,B0B1W1ZZGQ,"Churu Inaba, Premios Cremosos para Gato, Mix 4 Sabores de Atún, Bajos en Calorías, 50 Tubos de 14g",INABA,4.9,1601,655.0,2000,亚马逊官方(上月购买量),2023-10-29,34,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
