排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
1,B0153V4AOM,Nupec 炸丸子适合狗、成年小型犬种，含有 Omega 3 和 6，重量为 8 公斤。,Nupec,4.8,15654,1061.7,4817,评论数推算(评论率2.5%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B00NABTC8M,亚马逊 Basics 狗便便袋，带分配器，黑色，300 个（20 卷），经过改进以确保无泄漏，无香料，包括皮带夹,Amazon Basics,4.9,248851,197.1,585532,评论数推算(评论率2.5%),2025-01-11,17,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTC8M,True
3,B08JSG74RV,Winner Premium Superfoods 20 公斤，中大型犬成年犬粮。,Ganador,4.6,2861,985.0,1659,评论数推算(评论率2.5%),2020-09-22,69,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
4,B0CYXKNB1Y,MESVIER 狗背带，适合中型、大型、小型犬，带 1.5m 皮带，透气反光可调节狗背带，无拉力狗背带，适合散步旅行训练狗配件,MESVIER,4.7,9398,249.0,14458,评论数推算(评论率2.5%),2024-04-13,26,30,MESVIER,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
5,B01N30FXOM,Purina 狗粮成人迷你和小型犬肉和鸡肉味 7.5 公斤,Dog Chow,4.8,4852,337.47,1718,评论数推算(评论率2.5%),2017-01-24,113,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
6,B0153V49XO,Nupec 炸丸子适合狗、成年小型犬种，含有 Omega 3 和 6，2 公斤。,Nupec,4.8,8459,363.0,2603,评论数推算(评论率2.5%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
7,B01N0AG6OF,优质幼犬获胜者 20 公斤，中型和大型品种。包装可能有所不同,Ganador,4.7,4719,889.0,1641,评论数推算(评论率2.5%),2016-11-08,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
8,B07DCJ8B3S,Premium Winner 狗用干粮 15 公斤,Ganador,4.8,1623,659.0,2597,评论数推算(评论率2.5%),2024-05-09,25,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
9,B0153V41AU,Nupec 成年狗炸丸子，含 Omega 3 和 6 - 1 包 x 15 公斤,Nupec,4.8,7934,1720.0,2441,评论数推算(评论率2.5%),2015-09-01,130,1,Abarrotes El Tenayo,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0153V41AU,True
10,B07XZHXZW4,HI MULTI PRO 成年犬优质食品 25 公斤。含有益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6510,1154.0,2034,评论数推算(评论率2.5%),2015-10-07,128,3,ALBAPESA,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
