排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V4AOM,Nupec 小型犬成犬狗粮，含Omega 3和6，8公斤装,Nupec,4.8,15716,1134.36,4000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B07DCJ8B3S,Ganador Premium成犬干粮15kg,Ganador,4.8,1729,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
3,B00NABTG60,"Amazon Basics - Bolsas para excremento de perro, con dispensador, Negro, 600 unidades (40 rollos), mejoradas para garantizar que no haya fugas, sin fragancia, incluye clip para correa",Amazon Basics,4.9,235968,262.87,2000,亚马逊官方(上月购买量),2017-09-11,108,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
4,B0CXYTC8WM,Ganador 干狗粮 20kg,Ganador,4.7,1727,680.0,2000,亚马逊官方(上月购买量),2024-03-13,29,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
5,B0CYXKNB1Y,MESVIER 狗狗胸背带 大中小型犬通用 带1.5米牵引绳 可调节反光透气 防爆冲 散步旅行训练配件,MESVIER,4.7,9691,249.0,300,亚马逊官方(上月购买量),2024-04-13,28,51,MESVIER,品牌方(中国),中国,CN/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
6,B01MQFPHMN,Ganador 高级成犬粮 20kg，小型犬，黑色。包装可能不同。,Ganador,4.7,2588,919.0,3000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B08JSG74RV,Ganador 优质超级食品 20kg 中大型成犬粮,Ganador,4.7,2895,1135.0,3000,亚马逊官方(上月购买量),2020-09-22,71,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
8,B09R93SSD5,Purina Beneful 成犬粮 全犬种 三文鱼味 健康亮泽 10kg,Purina,4.8,4262,527.0,3000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B01N30FXOM,普瑞纳Dog Chow成犬小型犬和迷你犬粮 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4910,336.0,2000,亚马逊官方(上月购买量),2017-01-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
10,B01N0AG6OF,Ganador Premium幼犬粮20kg，中大型犬种。包装可能不同。,Ganador,4.7,4788,909.0,2000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
11,B0153V49XO,Nupec成犬小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8516,365.36,3000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
