排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V4AOM,Nupec 成年小型犬狗粮，含Omega 3和6，8kg装,Nupec,4.8,15706,1212.58,5000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B00NABTG60,Amazon Basics - 狗粪袋，带分配器，黑色，600只（40卷），升级防漏设计，无香型，含牵引绳挂钩夹,Amazon Basics,4.9,236243,262.87,2000,亚马逊官方(上月购买量),2017-09-11,108,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
3,B0CYXKNB1Y,MESVIER 狗胸背带 带1.5米牵引绳 大中小型犬通用 可调节反光透气 防爆冲 遛狗旅行训练配件,,4.7,9747,249.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0CYXKNB1Y,False
4,B01N30FXOM,普瑞纳 Dog Chow 成年小型及迷你犬粮 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4908,329.0,5000,亚马逊官方(上月购买量),2017-01-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
5,B07DCJ8B3S,赢家 premium 成犬干粮 15kg,Ganador,4.8,1735,527.0,,,2024-05-09,28,1,,,,,,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
6,B0153V7ZTO,Purina Dog Chow Adulto Raza Medina y Grande Sabor Carne y Pollo 7.5Kg,Dog Chow,4.8,4121,329.0,4000,亚马逊官方(上月购买量),2016-11-24,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
7,B0B1W1ZZGQ,伊纳宝Churu 奶油质地猫零食 金枪鱼4种口味混合 低卡路里 50支×14g,INABA,4.9,1617,577.15,2000,亚马逊官方(上月购买量),2023-10-29,34,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
8,B09R93SSD5,Purina Beneful Adulto Todos los tamaños Salud Radiante Sabor Salmón 10Kg,Purina,4.8,4249,527.0,3000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B0153V49XO,Nupec 成年小型犬狗粮，含Omega 3和6，2kg装。,Nupec,4.8,8521,386.71,3000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
10,B0153V41AU,Nupec成犬粮含Omega-3和6 1包x15kg,Nupec,4.8,7938,1767.3,2000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
11,B07XZHXZW4,HI MULTI PRO 优质成犬粮25kg 含益生菌与高生物价蛋白质,HI MULTI PRO,4.6,6537,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,131,3,ALBAPESA,第三方(墨西哥),墨西哥,MX/36900/GUANAJUATO/PENJAMO/KM 63 CARRETERA IRAPUATO - LA PIEDAD,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
12,B0DM9Q93RR,Fancy Pets Medical Solutions 犬猫用三文鱼油 490ml | Omega-3（含DHA和EPA） | 健康皮肤、亮泽毛发、强健免疫系统补充剂,Medical Solutions,4.5,2101,259.0,1000,亚马逊官方(上月购买量),2024-11-07,22,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
