排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B00NABTG60,Amazon Basics - 狗粪袋，带分配器，黑色，600个（40卷），升级防漏，无香，含牵引绳夹,Amazon Basics,4.9,235296,262.87,1000,亚马逊官方(上月购买量),2017-09-11,106,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
2,B07DCJ8B3S,胜者优质狗粮15kg,Ganador,4.8,1680,659.0,6000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
3,B08JSG74RV,Ganador Premium Superfoods 20kg 成年中大型犬狗粮,Ganador,4.6,2896,899.0,5000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
4,B0153V4AOM,Nupec狗粮，成年小型犬，含Omega 3和6，8公斤装。,Nupec,4.8,15721,1152.1,8000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
5,B0CYXKNB1Y,MESVIER狗胸背带中小大型通用带1.5米牵引绳可调节反光透气防爆冲适合散步旅行训练狗狗配件,MESVIER,4.7,9572,249.0,400,亚马逊官方(上月购买量),2024-04-13,27,43,MESVIER,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
6,B01MQFPHMN,胜利者优质成犬粮20kg，小型犬种，黑色。包装可能不同。,Ganador,4.7,2584,888.0,4000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B0CXYTC8WM,胜者狗干粮20kg,Ganador,4.7,1695,705.0,5000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
8,B01N0AG6OF,优胜者高级幼犬粮20公斤，中大型犬适用。包装可能有所不同。,Ganador,4.7,4784,868.0,3000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
9,B0153V49XO,Nupec 成年小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8511,363.0,4000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
10,B01N30FXOM,普瑞纳冠能小型成年犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4911,336.0,2000,亚马逊官方(上月购买量),2017-01-24,114,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
11,B09R93SSD5,普瑞纳Beneful成犬全犬种健康光彩三文鱼味10kg,Purina,4.8,4300,553.0,3000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
12,B0D43R8KKL,Fancy Pets MS 三文鱼油 犬猫通用 250ml - Omega 3 含DHA和EPA - 健康皮肤、亮泽毛发、强健免疫系统,Medical Solutions,4.5,2031,149.0,1000,亚马逊官方(上月购买量),2024-05-13,26,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
13,B018M8AR90,干宠物狗训练垫30片,,4.6,3744,159.81,,,,,,,,,,,https://www.amazon.com.mx/dp/B018M8AR90,False
14,B0153V7ZTO,普瑞纳狗粮成犬中大型牛肉鸡肉味7.5公斤,,4.8,4113,336.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V7ZTO,False
15,B0153V41AU,Nupec成犬粮含Omega 3和6 - 15公斤装,Nupec,4.8,7964,1729.0,4000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
16,B0CF63JSS9,Dogelthy 纯三文鱼油 450毫升。狗狗用Omega-3三文鱼油，每份含300毫克EPA+DHA。狗狗鱼油补充剂，可用于狗粮或生骨肉饮食。,Dogelthy,4.7,3021,509.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
17,B07XZHXZW4,HI MULTI PRO 优质成年犬粮 25kg，含益生菌与高生物价值蛋白质,,4.6,6547,1154.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B07XZHXZW4,False
18,B09R916GQ3,Purina Beneful 成犬原味牛肉粮 10公斤,,4.8,2648,553.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B09R916GQ3,False
19,B01FKNX3FU,Ganador 成犬小型犬 20kg 蓝色,Ganador,4.8,1527,678.0,1000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
20,B003CL6Q84,希尔思科学膳食成年小型及迷你犬粮（鸡肉味7kg），有助于建立长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25346,960.0,1000,亚马逊官方(上月购买量),2013-07-08,157,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
21,B0CF4BLG83,Dogelthy Mobility 犬用软骨保护粉剂，含葡萄糖胺、软骨素和II型胶原蛋白UCII，可拌入狗粮或生骨肉饮食，270g（鱼味）,Dogelthy,4.6,2091,938.0,1000,亚马逊官方(上月购买量),2023-08-09,35,4,Dogelthy,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
22,B0B1W1ZZGQ,伊纳宝啾噜，猫咪奶油零食，混合4种金枪鱼口味，低热量，14g×50支,INABA,4.9,1525,667.0,2000,亚马逊官方(上月购买量),2023-10-29,33,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
23,B0BBSG79MX,宝路高蛋白成年犬粮 牛肉鸡肉味 24袋 85克/袋 含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1148,196.39,1000,亚马逊官方(上月购买量),2022-08-24,47,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
24,B07TGKCWWP,Dry Pet 狗狗尿布 小号 12片,,4.5,1451,131.53,,,,,,,,,,,https://www.amazon.com.mx/dp/B07TGKCWWP,False
25,B071HPBSHV,Amazon Basics 公狗尿布，30片装，小号，超吸收一次性，安全贴合防漏舒适,Amazon Basics,4.5,32202,472.83,600,亚马逊官方(上月购买量),2017-10-23,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
26,B08NWZD6MS,Spring Blossoms 专业2合1猫狗美容梳，轻松去除毛结和缠结，安全宠物刷（橙色）,Spring Blossoms,4.7,4255,297.99,700,亚马逊官方(上月购买量),2021-01-06,67,5,GoodHappens,第三方(中国),中国,中国/361000/福建/厦门市/205-11室之三/火炬高新区软件园二期观日路8号,FBA,https://www.amazon.com.mx/dp/B08NWZD6MS,True
27,B01FVRF920,Barkys 80136100614 肉干条 1千克，1件，小号,BARKYS,4.8,1560,199.0,2000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
28,B07PY5FGR1,Cloralex宠物除臭剂 3.75升,Cloralex,4.8,2477,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
29,B0153V3ZEI,Nupec狗粮，幼犬成犬适用，含维生素E和硒，5公斤装。,,4.8,9502,723.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V3ZEI,False
30,B08TH7LVQK,PETS APPAREL HILLS 狗床，耐用舒适，柔软填充，尺寸和颜色可选（小型，黑/灰）,,4.6,10385,266.11,,,,,,,,,,,https://www.amazon.com.mx/dp/B08TH7LVQK,False
31,B0153V43UI,Nupec 成犬粮，含欧米伽3和6，5公斤装,Nupec,4.8,4014,755.55,600,亚马逊官方(上月购买量),2015-09-01,131,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
32,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪 狗零食 无防腐剂和人工调味剂 幼犬成犬老年犬适用 10只装,Dogelthy,4.4,75,210.0,300,亚马逊官方(上月购买量),2024-08-23,23,5,Dogelthy,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
33,B0GWHHR2P1,,,,,,,,,,,,,,,,https://www.amazon.com.mx/dp/B0GWHHR2P1,False
34,B01FUDI7F6,Nupec 老年犬狗粮，15公斤装,Nupec,4.8,5195,1999.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,Amikoo Peek,第三方,,,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
35,B016C6EOO8,,,,,,,,,,,,,,,,https://www.amazon.com.mx/dp/B016C6EOO8,False
36,B0118VV13O,希尔思天然训练软嚼零食，犬用训练奖励，90克,Hill's,4.7,3894,110.0,500,亚马逊官方(上月购买量),2016-06-24,121,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
37,B0971C67PW,,,,,,,,,,,,,,,,https://www.amazon.com.mx/dp/B0971C67PW,False
38,B0CK32S653,Waggys Bites 天然狗零食，柔软无谷物高蛋白，红薯三文鱼口味，美味健康，训练理想选择，100片软嚼,Waggys,4.6,638,189.0,1000,亚马逊官方(上月购买量),2023-09-28,34,2,Waggy´s!,品牌方(墨西哥),墨西哥,墨西哥/44520/哈利斯科州/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
