排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V7ZTO,Purina Dog Chow成犬粮 中大型犬 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4119,329.0,3000,亚马逊官方(上月购买量),2016-11-24,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
2,B01N30FXOM,普瑞纳康多乐成年犬粮（迷你小型犬）牛肉鸡肉味7.5kg,Dog Chow,4.8,4905,329.0,4000,亚马逊官方(上月购买量),2017-01-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
3,B00NABTG60,Amazon Basics - 狗粪袋，带分配器，黑色，600只（40卷），升级防漏设计，无香，含牵引绳夹,Amazon Basics,4.9,236138,262.87,2000,亚马逊官方(上月购买量),2017-09-11,108,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
4,B0153V4AOM,Nupec成年小型犬狗粮，含Omega 3和6，8kg装。,Nupec,4.8,15700,1132.23,5000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
5,B07DCJ8B3S,Ganador Premium 犬用干粮 15kg,Ganador,4.8,1732,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
6,B0CYXKNB1Y,MESVIER 狗狗胸背带配1.5米牵引绳 可调反光透气 防爆冲 大中小型犬通用 遛狗旅行训练用品,MESVIER,4.7,9712,249.0,300,亚马逊官方(上月购买量),2024-04-13,29,48,MESVIER,品牌方(中国),中国,CN/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
7,B01MQFPHMN,Ganador Premium 成犬粮 20kg，小型黑毛犬专用，包装可能不同,Ganador,4.8,2575,919.0,3000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
8,B09R93SSD5,Purina Beneful Adulto Todos los tamaños Salud Radiante Sabor Salmón 10Kg,Purina,4.8,4241,527.0,3000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B08JSG74RV,Ganador Premium Superfoods 20kg，中大型犬成年犬粮,Ganador,4.6,2872,1064.0,2000,亚马逊官方(上月购买量),2020-09-22,71,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
10,B0153V49XO,Nupec 小型犬成犬粮，含Omega 3和6，2kg装。,Nupec,4.8,8516,386.83,3000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
11,B0B1W1ZZGQ,Churu Inaba 猫用奶油零食，金枪鱼4口味混合，低卡路里，50支（14g/支）,INABA,4.9,1611,615.45,2000,亚马逊官方(上月购买量),2023-10-29,34,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
12,B0153V41AU,Nupec 成犬狗粮 含Omega 3和6 1袋15kg,Nupec,4.8,7932,1757.92,2000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
13,B0DM9Q93RR,Fancy Pets Medical Solutions 犬猫三文鱼油 490ml | Omega 3含DHA与EPA | 皮肤健康、毛发亮泽、增强免疫系统补充剂,Medical Solutions,4.5,2088,259.0,1000,亚马逊官方(上月购买量),2024-11-07,22,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
