排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0CXYTC8WM,Ganador狗粮 20kg,Ganador,4.7,1751,719.54,3000,亚马逊官方(上月购买量),2024-03-13,30,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
2,B01N30FXOM,Dog Chow普瑞纳成犬迷你小型犬牛肉鸡肉味7.5Kg,Dog Chow,4.8,4915,439.0,5000,亚马逊官方(上月购买量),2017-01-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
3,B0153V4AOM,Nupec 小型犬成犬狗粮，含 Omega 3 和 6，8公斤装,Nupec,4.8,15718,1192.0,5000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
4,B0CYXKNB1Y,MESVIER 中小型大型犬胸背带配1.5米牵引绳，可调节反光透气狗狗胸背衣，防爆冲遛狗旅行训练宠物用品,MESVIER,4.7,9801,249.0,300,亚马逊官方(上月购买量),2024-04-13,29,51,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
5,B08JSG74RV,Ganador Premium超级食品20kg，中型和大型成年犬粮。,Ganador,4.7,2886,989.0,2000,亚马逊官方(上月购买量),2020-09-22,72,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
6,B0B1W1ZZGQ,Churu Inaba 猫用奶油零食，金枪鱼4种口味混合装，低卡路里，50支装 14g,INABA,4.9,1642,577.15,3000,亚马逊官方(上月购买量),2023-10-29,35,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
7,B00NABTGY2,Amazon Basics - 狗粪袋，带分配器，黑色，900个（60卷），防漏升级，无香型，含牵引绳夹,Amazon Basics,4.9,236472,349.21,1000,亚马逊官方(上月购买量),2025-01-11,20,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTGY2,True
8,B07DCJ8B3S,甘多犬用干粮 Premium 15kg,Ganador,4.8,1747,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
9,B09R93SSD5,Purina Beneful 成犬全 sizes 亮丽健康三文鱼味 10Kg,Purina,4.8,4256,527.0,3000,亚马逊官方(上月购买量),2022-01-26,56,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
10,B0153V49XO,Nupec 小型犬成犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8529,348.98,3000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
11,B01MQFPHMN,Ganador优质成犬粮 20公斤 小型犬 黑色。包装可能有所不同,Ganador,4.7,2595,980.0,3000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
12,B0153V41AU,Nupec 成犬狗粮 含Omega 3和6 - 15公斤（1袋）,Nupec,4.8,7943,1780.0,2000,亚马逊官方(上月购买量),2015-09-01,133,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
13,B07XZHXZW4,HI MULTI PRO 成犬优质粮 25kg，含益生菌与高生物价蛋白,HI MULTI PRO,4.6,6555,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,131,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/潘哈莫/伊拉普阿托-拉彼达公路63公里,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
14,B0153V7ZTO,普瑞纳康多乐成犬中型及大型犬牛肉鸡肉味 7.5kg,Dog Chow,4.8,4134,329.0,4000,亚马逊官方(上月购买量),2016-11-24,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
