排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
1,B0153V4AOM,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 8 kg.",Nupec,4.8,15654,1126.11,4817,评论数推算(评论率2.5%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B00NABTC8M,"Amazon Basics - Bolsas para excremento de perro, con dispensador, Negro, 300 unidades (20 rollos), mejoradas para garantizar que no haya fugas, sin fragancia, incluye clip para correa",Amazon Basics,4.9,248852,197.1,585534,评论数推算(评论率2.5%),2025-01-11,17,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTC8M,True
3,B08JSG74RV,"Ganador Premium Superfoods 20kg, Alimento para Perros Adultos de Razas Medianas y Grandes.",Ganador,4.6,2861,985.0,1659,评论数推算(评论率2.5%),2020-09-22,69,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
4,B0CYXKNB1Y,"MESVIER Arnés para Perro Mediano Grande Pequeño con Correa 1.5m, Pechera para Perro Ajustable Reflectante Transpirable, Arneses para Perro Sin Tirones para Caminar Viajar Entrenar Perros Accesorios",MESVIER,4.7,9398,249.0,14458,评论数推算(评论率2.5%),2024-04-13,26,28,MESVIER,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
5,B0153V49XO,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 2 kg.",Nupec,4.8,8459,363.0,2603,评论数推算(评论率2.5%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
6,B01N30FXOM,Purina Dog Chow Adulto Raza Mini y Pequeña Sabor Carne y Pollo 7.5Kg,Dog Chow,4.8,4852,337.47,1718,评论数推算(评论率2.5%),2017-01-24,113,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
7,B07DCJ8B3S,Alimento seco para Perro Ganador Premium 15kg,Ganador,4.8,1623,659.0,2597,评论数推算(评论率2.5%),2024-05-09,25,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
8,B01N0AG6OF,"Ganador Premium Cachorro 20 kg, Razas Medianas y Grandes. El empaque puede variar",Ganador,4.7,4720,889.0,1642,评论数推算(评论率2.5%),2016-11-08,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
9,B0153V41AU,Nupec Croquetas para Perro Adulto con Omega 3 y 6 - 1 pack x 15 kg,Nupec,4.8,7934,1734.39,2441,评论数推算(评论率2.5%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
10,B0153V7ZTO,Purina Dog Chow Adulto Raza Medina y Grande Sabor Carne y Pollo 7.5Kg,Dog Chow,4.8,4076,337.47,1418,评论数推算(评论率2.5%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
11,B01MQFPHMN,"Ganador Premium Adulto 20 kg, Razas Pequeñas, Negro. El empaque puede variar",Ganador,4.7,2534,889.0,881,评论数推算(评论率2.5%),2016-11-08,115,1,,,,,https://www.amazon.com.mx/dp/B01MQFPHMN,True
12,B09R93SSD5,Purina Beneful Adulto Todos los tamaños Salud Radiante Sabor Salmón 10Kg,Purina,4.8,4255,599.0,3211,评论数推算(评论率2.5%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
13,B0DM9Q93RR,"Fancy Pets Aceite de Salmon para Perros y Gatos Medical Solutions con 490ml | Omega 3 con DHA y EPA | Suplemento para Piel Sana, Pelaje Brillante y Sistema Inmune Fuerte",Medical Solutions,4.5,1936,274.68,4076,评论数推算(评论率2.5%),2024-11-07,19,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
14,B07XZHXZW4,HI MULTI PRO Alimento Premium para Perro Adulto 25kg. con probióticos y Proteínas de Alto Valor biológico,HI MULTI PRO,4.6,6510,1154.0,2034,评论数推算(评论率2.5%),2015-10-07,128,3,ALBAPESA,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
15,B018M8AR90,Dry Pet Tapete Entrenador para Perro de 30 Piezas,Dry Pet,4.6,3740,159.81,1236,评论数推算(评论率2.5%),2016-05-06,121,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
16,B0CF63JSS9,Dogelthy Pure Salmon Oil 450 ml. Aceite de Salmon Omega 3 para Perro con 300 MG de EPA + DHA por Dosis. Suplemento de Aceite de Pescado para Perro. para Croquetas o Dieta Barf.,Dogelthy,4.7,2969,569.0,3493,评论数推算(评论率2.5%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
17,B0CXYTC8WM,Alimento seco para Perro Ganador 20kg,Ganador,4.7,1631,699.0,2416,评论数推算(评论率2.5%),2024-03-13,27,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
18,B0GTX2FQ24,Playera para Perro con diseño Oficial FIFA – México – Talla XS,FIFA,3.1,11,179.0,147,评论数推算(评论率2.5%),2026-03-25,3,6,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GTX2FQ24,True
19,B0CF4BLG83,"Dogelthy Mobility. Suplemento Condroprotector para Perros con Glucosamina, Condroitina y Colageno Tipo 2 UCII en Polvo. Complemento para Croquetas o Dieta Barf 270g. (Pescado)",Dogelthy,4.6,2060,1067.0,2424,评论数推算(评论率2.5%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
20,B071HPBSHV,"Amazon Basics - Pañales para perro macho, paquete de 30, tamaño pequeño, envoltura desechable ultraabsorbente con ajuste seguro, a prueba de fugas y cómodo",Amazon Basics,4.5,32164,364.9,12371,评论数推算(评论率2.5%),2017-10-23,104,4,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
21,B003CL6Q84,"Hill's Science Diet Adult Small & Mini, Croquetas para Perro Adulto de Razas Pequeñas Sabor Pollo 7kg, Alimento para Perro, Ayuda a Construir Las Bases para la Salud a Largo Plazo, Piel y Pelaje",Hill's Science Diet,4.8,25127,1248.0,6484,评论数推算(评论率2.5%),2013-07-08,155,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
