排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0CYXKNB1Y,MESVIER 狗狗胸背带 中小大型犬通用 带1.5米牵引绳 可调节反光透气 防爆冲 散步旅行训练宠物配件,MESVIER,4.7,9655,219.12,300,亚马逊官方(上月购买量),2024-04-13,28,52,MESVIER,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
2,B00NABTG60,Amazon Basics 狗便袋，带分配器，黑色，600只（40卷），升级防漏，无香，含牵引绳夹,,4.9,235770,283.88,,,,,,,,,,,https://www.amazon.com.mx/dp/B00NABTG60,False
3,B0153V4AOM,Nupec 小型成犬粮，含Omega 3和6，8kg装,Nupec,4.8,15718,1118.05,4000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
4,B07DCJ8B3S,Ganador Premium 狗干粮 15kg,Ganador,4.8,1716,763.5,4000,亚马逊官方(上月购买量),2024-05-09,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
5,B01N30FXOM,普瑞纳狗粮 成年犬小型迷你 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4918,336.0,2000,亚马逊官方(上月购买量),2017-01-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
6,B0153V41AU,Nupec 成年犬狗粮 含Omega-3和6 - 1包x15kg,Nupec,4.8,7943,1728.98,2000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
7,B0D43R8KKL,Fancy Pets MS 犬猫三文鱼油 250ml，Omega-3含DHA和EPA，健康皮肤、亮泽毛发、强健免疫系统,Medical Solutions,4.5,2064,149.0,1000,亚马逊官方(上月购买量),2024-05-13,27,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
8,B09R93SSD5,普瑞纳宝能 光彩健康 成犬全犬种 三文鱼口味 10kg,Purina,4.8,4258,527.0,3000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B0153V49XO,Nupec 小型犬成犬狗粮，含Omega 3和6，2公斤装。,,4.8,8512,398.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V49XO,False
10,B0153V7ZTO,Purina Dog Chow 成犬粮 中大型犬 牛肉鸡肉味 7.5kg,,4.8,4122,336.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V7ZTO,False
11,B01MQFPHMN,Ganador 高级成犬粮 20kg，小型犬，黑色。包装可能有所不同。,,4.8,2580,956.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01MQFPHMN,False
