排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B08JSG74RV,Ganador Premium Superfoods 20公斤，中大型犬成年犬粮,Ganador,4.6,2913,899.0,4000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
2,B00NABTG60,亚马逊基础系列 - 狗狗粪便袋，带分配器，黑色，600只（40卷），改进防漏，无香，含牵引绳夹,Amazon Basics,4.9,235530,287.85,1000,亚马逊官方(上月购买量),2017-09-11,107,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
3,B0153V4AOM,Nupec 成年小型犬狗粮，含Omega3和6，8公斤装,Nupec,4.8,15740,1135.65,5000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
4,B07DCJ8B3S,胜者优选犬用干粮15kg,Ganador,4.8,1695,659.0,5000,亚马逊官方(上月购买量),2024-05-09,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
5,B0CYXHFXNW,MESVIER 中小大型犬胸背带含1.5米牵引绳，可调节反光透气防爆冲，适合行走、旅行、训练用的狗狗配件,MESVIER,4.7,9603,249.0,200,亚马逊官方(上月购买量),2024-04-13,28,43,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXHFXNW,True
6,B0D43R8KKL,Fancy Pets MS 三文鱼油 犬猫通用 250ml - 含DHA和EPA的Omega-3 - 健康皮肤、亮泽毛发、强健免疫系统,Medical Solutions,4.5,2042,149.0,1000,亚马逊官方(上月购买量),2024-05-13,27,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
7,B0CXYTC8WM,胜利者狗干粮20kg,Ganador,4.7,1707,718.67,4000,亚马逊官方(上月购买量),2024-03-13,29,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
8,B09R916GQ3,普瑞纳宝能成犬原味牛肉10公斤,WeTap,4.8,2659,594.0,2000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
9,B01MQFPHMN,Ganador Premium 成犬粮20kg，小型犬，黑色。包装可能有所不同。,Ganador,4.7,2591,996.0,4000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
10,B0153V49XO,Nupec 成年小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8524,361.95,3000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
11,B0153V41AU,Nupec成年犬粮含Omega3和6，15公斤装,Nupec,4.8,7970,1728.98,3000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
12,B0CF4BLG83,Dogelthy Mobility 狗用软骨保护粉剂补充剂 | 含葡萄糖胺、软骨素和II型胶原蛋白（UCII），鱼味 270克,Dogelthy,4.6,2102,824.25,1000,亚马逊官方(上月购买量),2023-08-09,36,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
13,B01N0AG6OF,Ganador Premium幼犬粮20kg，中大型犬，包装可能不同,Ganador,4.7,4798,906.0,3000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
14,B01N30FXOM,普瑞纳冠能小型迷你犬成犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4924,336.0,2000,亚马逊官方(上月购买量),2017-01-24,114,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
15,B018M8AR90,Dry Pet狗狗训练垫30片装,Dry Pet,4.6,3744,159.81,2000,亚马逊官方(上月购买量),2016-05-06,123,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
16,B09R93SSD5,Purina Beneful 成年犬全犬种 炫彩健康 三文鱼口味 10公斤,Purina,4.8,4309,550.0,3000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
17,B07XZHXZW4,HI MULTI PRO 成年犬优质狗粮 25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6548,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,130,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩纳莫/KM 63 公路 伊拉普阿托-拉彼达德,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
18,B0153V7ZTO,Purina狗粮 成犬中大型 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4118,336.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
19,B0CF63JSS9,"Dogelthy 纯三文鱼油，含Omega 3,6,9，犬用，每份300毫克EPA和DHA，鱼油补充剂",Dogelthy,4.7,3041,509.0,1000,亚马逊官方(上月购买量),2023-08-09,36,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日 #15 内部6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
20,B01FKNX3FU,佳乐成年小型犬粮，20公斤，蓝色,Ganador,4.8,1536,678.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
21,B003CL6Q84,希尔思科学膳食小型迷你成犬粮 鸡肉味 7公斤 | 希尔思狗粮，真鸡肉，小型犬，促进消化健康，增强免疫系统,Hill's Science Diet,4.8,25388,960.0,1000,亚马逊官方(上月购买量),2013-07-08,157,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
22,B0B1W1ZZGQ,Churu Inaba 猫条 奶油零食 金枪鱼四味混合 低卡 50支14g,INABA,4.9,1542,664.99,2000,亚马逊官方(上月购买量),2023-10-29,33,18,Variedad Express Online,第三方(墨西哥),墨西哥,墨西哥/31530/奇瓦瓦/夸乌特莫克/伊达尔戈 2354,FBA,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
23,B0118VV13O,希尔斯科学膳食训练奖励零食 鸡肉味 90克，助消化、强免疫，含Omega-6与维生素E,Hill's,4.7,3896,110.0,500,亚马逊官方(上月购买量),2016-06-24,121,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
24,B01FVRF920,Barkys 80136100614 肉干条 1千克，1支，小号,BARKYS,4.8,1568,259.0,1000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
