排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V4AOM,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 8 kg.",Nupec,4.8,15673,874.0,7000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B08JSG74RV,"Ganador Premium Superfoods 20kg, Alimento para Perros Adultos de Razas Medianas y Grandes.",Ganador,4.7,2867,778.0,5000,亚马逊官方(上月购买量),2020-09-22,69,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
3,B0153V41AU,Nupec Croquetas para Perro Adulto con Omega 3 y 6 - 1 pack x 15 kg,Nupec,4.8,7941,1268.25,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
4,B0CXYTC8WM,Alimento seco para Perro Ganador 20kg,Ganador,4.7,1646,605.0,3000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
5,B07DCJ8B3S,Alimento seco para Perro Ganador Premium 15kg,Ganador,4.8,1633,627.0,4000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
6,B01MQFPHMN,"Ganador Premium Adulto 20 kg, Razas Pequeñas, Negro. El empaque puede variar",Ganador,4.7,2550,819.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B0CYXKNB1Y,"MESVIER Arnés para Perro Mediano Grande Pequeño con Correa 1.5m, Pechera para Perro Ajustable Reflectante Transpirable, Arneses para Perro Sin Tirones para Caminar Viajar Entrenar Perros Accesorios",MESVIER,4.7,9455,206.67,400,亚马逊官方(上月购买量),2024-04-13,26,41,MESVIER,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
8,B0153V49XO,"Nupec croquetas para Perros, Adulto Razas pequeñas, con Omega 3 y 6, presentación de 2 kg.",Nupec,4.8,8479,272.0,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
9,B00NABTG60,"Amazon Basics - Bolsas para excremento de perro, con dispensador, Negro, 600 unidades (40 rollos), mejoradas para garantizar que no haya fugas, sin fragancia, incluye clip para correa",Amazon Basics,4.9,249194,258.9,1000,亚马逊官方(上月购买量),2017-09-11,106,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
10,B0F494MVYC,Alimento seco Perro Ganador Premium Salmon 20k,Ganador,4.8,176,834.0,800,亚马逊官方(上月购买量),2025-04-09,15,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0F494MVYC,True
11,B01N0AG6OF,"Ganador Premium Cachorro 20 kg, Razas Medianas y Grandes. El empaque puede variar",Ganador,4.7,4744,750.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
12,B07XZHXZW4,HI MULTI PRO Alimento Premium para Perro Adulto 25kg. con probióticos y Proteínas de Alto Valor biológico,HI MULTI PRO,4.6,6523,915.0,1000,亚马逊官方(上月购买量),2015-10-07,129,3,ALBAPESA,第三方(墨西哥),墨西哥,MX/36900/GUANAJUATO/PENJAMO/KM 63 CARRETERA IRAPUATO - LA PIEDAD,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
13,B01FVRF920,"Barkys 80136100614 Jerky Sticks Palitos de Carne 1 kg, 1 Pieza, Small",BARKYS,4.8,1548,179.0,1000,亚马逊官方(上月购买量),2016-05-19,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
14,B01N30FXOM,Purina Dog Chow Adulto Raza Mini y Pequeña Sabor Carne y Pollo 7.5Kg,Dog Chow,4.8,4871,331.55,3000,亚马逊官方(上月购买量),2017-01-24,113,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
15,B0CF63JSS9,Dogelthy Pure Salmon Oil 450 ml. Aceite de Salmon Omega 3 para Perro con 300 MG de EPA + DHA por Dosis. Suplemento de Aceite de Pescado para Perro. para Croquetas o Dieta Barf.,Dogelthy,4.7,2981,483.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,MX/45019/JALISCO/Zapopan/San Juan de Ocotan/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
16,B0DM9Q93RR,"Fancy Pets Aceite de Salmon para Perros y Gatos Medical Solutions con 490ml | Omega 3 con DHA y EPA | Suplemento para Piel Sana, Pelaje Brillante y Sistema Inmune Fuerte",Medical Solutions,4.5,1964,271.7,1000,亚马逊官方(上月购买量),2024-11-07,20,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
