排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B07DCJ8B3S,Ganador Premium 干狗粮 15kg,Ganador,4.8,1660,659.0,5000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
2,B0153V4AOM,Nupec 犬粮，小型成年犬，含Omega 3和6，8公斤装。,Nupec,4.8,15704,1182.23,7000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
3,B08JSG74RV,Ganador Premium Superfoods 20kg 中大型成年犬粮,Ganador,4.6,2884,910.0,5000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
4,B09R93SSD5,Purina Beneful 成犬全犬种 亮毛健康 三文鱼味 10公斤,Purina,4.8,4290,527.2,3000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
5,B0CYXKNB1Y,MESVIER 狗背带 中大型小型通用 带1.5米牵引绳，可调节反光透气胸背，防爆冲设计，适合散步、旅行、训练 狗狗配件,MESVIER,4.7,9520,249.0,400,亚马逊官方(上月购买量),2024-04-13,27,43,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
6,B00NABTC8M,Amazon Basics 狗狗拾便袋，带分配器，黑色，300只（20卷），升级防漏，无香型，含牵引绳夹,Amazon Basics,4.9,249896,197.1,800,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTC8M,True
7,B0153V49XO,Nupec 小型犬成年犬粮，含Omega 3和6，2公斤装,Nupec,4.8,8500,355.18,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
8,B0CXYTC8WM,Ganador干狗粮20kg,Ganador,4.7,1675,725.0,4000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
9,B01MQFPHMN,Ganador Premium成年犬粮20kg，小型犬种，黑色款。包装可能有所不同。,Ganador,4.7,2569,888.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
10,B0153V41AU,Nupec 成年犬粮含Omega 3和6 15kg装,Nupec,4.8,7956,1728.98,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
11,B01N30FXOM,冠能狗粮成犬迷你小型犬牛肉鸡肉味7.5公斤,Dog Chow,4.8,4894,336.0,2000,亚马逊官方(上月购买量),2017-01-24,114,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
12,B01N0AG6OF,Ganador Premium幼犬粮20kg，中大型犬种。包装可能不同。,Ganador,4.7,4767,888.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
13,B0DM9Q93RR,Fancy Pets Medical Solutions 三文鱼油 猫狗通用 490ml，含Omega 3 DHA EPA，促进皮肤健康、毛发亮泽、免疫系统强健,Medical Solutions,4.5,2008,259.0,1000,亚马逊官方(上月购买量),2024-11-07,20,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
14,B018M8AR90,宠物狗训练垫30片装,Dry Pet,4.6,3742,159.81,1000,亚马逊官方(上月购买量),2016-05-06,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
15,B0153V7ZTO,Purina Dog Chow 成年中型和大型犬粮 牛肉鸡肉味 7.5公斤,Dog Chow,4.8,4101,336.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
16,B003CL6Q84,Hill's Science Diet 成犬小型及迷你犬粮 鸡肉味 7kg，帮助建立长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25277,960.0,1000,亚马逊官方(上月购买量),2013-07-08,156,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
17,B0CF4BLG83,Dogelthy Mobility 犬用关节保护补充剂，含葡萄糖胺、软骨素和II型UCII胶原蛋白粉末。可加入狗粮或生骨肉饮食中，270克。（鱼肉味）,Dogelthy,4.6,2083,1067.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安德奥科坦/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
18,B0CF63JSS9,DogElthy 纯三文鱼油 450ml，每份含300毫克EPA+DHA的Omega-3鱼油补剂，适用于狗粮或生骨肉饮食。,Dogelthy,4.7,3004,579.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
19,B0B1W1ZZGQ,伊纳巴Churu猫咪奶油零食，混合4种金枪鱼口味，低卡路里，50支14克装,INABA,4.9,1497,680.0,2000,亚马逊官方(上月购买量),2023-10-29,32,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
20,B07XZHXZW4,HI MULTI PRO 25kg成年犬优质狗粮，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6537,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,129,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩尼亚莫/KM 63 伊拉普阿托-拉彼达公路,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
21,B09R916GQ3,普瑞纳宝路成年犬原味牛肉味10公斤,WeTap,4.8,2639,564.0,2000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
22,B07TGKCWWP,Dry Pet 小型狗尿布 12片装,Fancy Pets,4.5,1452,131.53,400,亚马逊官方(上月购买量),2019-06-25,85,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
23,B01FKNX3FU,Ganador 成犬小型犬粮 20kg 蓝色,Ganador,4.8,1521,696.0,1000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
24,B00EJXIZ60,Earth Rated 宠物狗粪便袋，8卷共120个，无味,Earth Rated,4.9,16875,89.5,1000,亚马逊官方(上月购买量),2014-02-23,149,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00EJXIZ60,True
25,B071HPBSHV,亚马逊倍思公狗尿布，30片装，小号，超吸水防漏，安全贴合，舒适,Amazon Basics,4.5,32191,472.52,700,亚马逊官方(上月购买量),2017-10-23,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
26,B0BBSG79MX,宝路高蛋白成年犬粮，牛肉鸡肉口味，24包，每包85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1146,196.39,1000,亚马逊官方(上月购买量),2022-08-24,47,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
27,B0153V44K2,Nupec 成年犬用牛肉味狗粮 8公斤（包装可能不同）,Nupec,4.8,4007,1070.9,700,亚马逊官方(上月购买量),2015-09-01,130,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V44K2,True
28,B01FVRF920,Barkys 80136100614 肉干棒 1千克，1件，小号,BARKYS,4.8,1555,259.0,1000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
29,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5191,1999.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,Amikoo Peek,第三方(墨西哥),墨西哥,"墨西哥/52927/墨西哥州/阿蒂萨潘德萨拉戈萨/马林切 50, 科洛尼亚圣米格尔索奇曼加",FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
