排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0153V4AOM,Nupec狗粮，小型犬成年犬，含Omega 3和6，8公斤装,Nupec,4.8,15673,874.0,7000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
2,B08JSG74RV,Ganador Premium Superfoods 20公斤 中大型成年犬粮,Ganador,4.7,2867,778.0,5000,亚马逊官方(上月购买量),2020-09-22,69,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
3,B0153V41AU,Nupec成年犬狗粮含Omega 3和6，15公斤装,Nupec,4.8,7941,1268.25,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
4,B0CXYTC8WM,Ganador 成犬干粮 20公斤,Ganador,4.7,1646,605.0,3000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
5,B07DCJ8B3S,优胜者高级干狗粮15kg,Ganador,4.8,1633,627.0,4000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
6,B01MQFPHMN,Ganador Premium成犬粮20kg，小型犬，黑色。包装可能不同。,Ganador,4.7,2550,819.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B0CYXKNB1Y,MESVIER狗胸背带，中大型小型犬通用，配1.5米牵引绳，可调节反光透气，防暴冲，散步旅行训练用,,4.7,9455,,32830,"评论数推算(评论率1.2%, 按默认24个月在售)",,,,,,,,,https://www.amazon.com.mx/dp/B0CYXKNB1Y,False
8,B0153V49XO,Nupec成犬小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8479,272.0,4000,亚马逊官方(上月购买量),2015-09-01,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
9,B00NABTG60,Amazon Basics 狗粪便袋，带分配器，黑色，600只（40卷），升级防漏，无香，含牵引绳夹,Amazon Basics,4.9,249194,258.9,1000,亚马逊官方(上月购买量),2017-09-11,106,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
10,B0F494MVYC,赢家高级三文鱼干狗粮20公斤,Ganador,4.8,176,834.0,800,亚马逊官方(上月购买量),2025-04-09,15,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0F494MVYC,True
11,B01N0AG6OF,Ganador Premium幼犬粮20kg，中大型犬适用。包装可能有所不同。,Ganador,4.7,4744,750.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
12,B07XZHXZW4,HI MULTI PRO 高级成年犬粮 25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6523,915.0,1000,亚马逊官方(上月购买量),2015-10-07,129,3,ALBAPESA,第三方,,,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
13,B01FVRF920,Barkys 80136100614 肉干棒 1kg 小号,BARKYS,4.8,1548,179.0,1000,亚马逊官方(上月购买量),2016-05-19,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
14,B01N30FXOM,Purina Dog Chow成年小型迷你犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4871,331.55,3000,亚马逊官方(上月购买量),2017-01-24,113,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
15,B0CF63JSS9,Dogelthy纯三文鱼油450毫升，每份含300毫克EPA+DHA的犬用Omega-3三文鱼油，犬用鱼油补充剂，用于狗粮或生骨肉饮食。,Dogelthy,4.7,2981,483.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科州/萨波潘/圣胡安-德奥科坦/5月5日街 #15 内6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
16,B0DM9Q93RR,Fancy Pets 三文鱼油猫狗专用医疗配方 490ml | Omega-3 含 DHA 和 EPA | 促进皮肤健康、毛发亮丽及免疫系统强健的补充剂,Medical Solutions,4.5,1964,271.7,1000,亚马逊官方(上月购买量),2024-11-07,20,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
17,B018M8AR90,Dry Pet 狗狗训练垫30片装,Dry Pet,4.6,3742,159.81,1000,亚马逊官方(上月购买量),2016-05-06,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
18,B01FUDI7F6,Nupec 老年犬狗粮，15公斤装,Nupec,4.8,5179,1597.9,1000,亚马逊官方(上月购买量),2016-05-18,121,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7F6,True
19,B0CF4BLG83,Dogelthy Mobility 犬用软骨保护补充剂，含葡萄糖胺、软骨素、UCII II型胶原蛋白粉，搭配狗粮或生食使用，270克，鱼肉味,Dogelthy,4.6,2072,906.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日 #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
20,B0153V7ZTO,普瑞纳成犬中型大型犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4089,348.0,2000,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
21,B07PSK15Y2,Nupec 小型犬老年犬干狗粮 - 1 x 8千克,Nupec,4.8,4242,1128.6,1000,亚马逊官方(上月购买量),2019-03-18,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,True
22,B01FUDI7OC,Nupec 犬粮，体重控制，针对超重或肥胖犬只的营养配方，15千克包装。,Nupec,4.8,3929,1770.8,1000,亚马逊官方(上月购买量),2016-05-18,121,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,True
23,B0153V3XHM,Nupec狗粮，成犬幼犬通用，含维生素E和硒，20公斤装。,Nupec,4.8,9480,1856.3,300,亚马逊官方(上月购买量),2015-09-01,130,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3XHM,True
24,B09R93SSD5,Purina Beneful成犬全犬种三文鱼口味璀璨健康配方10公斤,Purina,4.8,4270,495.52,2000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
25,B0153V43UI,Nupec成年犬狗粮，含Omega 3和6，5公斤装,Nupec,4.8,3998,507.3,600,亚马逊官方(上月购买量),2015-09-01,130,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
26,B09R916GQ3,WeTap 普瑞纳宝能成年犬原味牛肉 10公斤,WeTap,4.8,2624,476.0,2000,亚马逊官方(上月购买量),2022-01-26,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
27,B0118VV13O,希尔思天然训练零食 柔软耐嚼 狗狗奖励 90克,Hill's,4.7,3884,78.37,500,亚马逊官方(上月购买量),2016-06-24,120,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
28,B003CL6Q84,希尔思科学饮食成年小型及迷你犬粮 鸡肉味 7kg，帮助构建长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25187,1152.0,1000,亚马逊官方(上月购买量),2013-07-08,156,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
29,B071HPBSHV,Amazon Basics 公狗尿布，30片装，小号，超强吸水一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32180,279.97,800,亚马逊官方(上月购买量),2017-10-23,104,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
30,B01FKNX3FU,Ganador 成年小型犬粮 20kg 蓝色,Ganador,4.8,1513,650.0,1000,亚马逊官方(上月购买量),2016-11-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
31,B01M8G9HYE,Nupec PENU7138 AAAAAA 狗狗放松零食 180克（包装可能不同）,Nupec,4.6,5398,85.0,1000,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
32,B0CK32S653,Waggys Bites | 天然狗零食 | 柔软无谷物高蛋白 | 红薯三文鱼味 | 美味可口 | 宠物健康零食 | 训练佳品 | 100粒软嚼,Waggys,4.6,608,149.0,1000,亚马逊官方(上月购买量),2023-09-28,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,墨西哥/44520/哈利斯科/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
33,B0BBSG79MX,宝路高蛋白成年犬粮 牛肉鸡肉味 24袋 每袋85克 含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1127,182.4,1000,亚马逊官方(上月购买量),2022-08-24,46,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
34,B0CG2VF5NV,Ring室内平移倾斜摄像头（Pan-Tilt Indoor Cam）| 360°全景视角，高清视频和双向音频（最新型号）| 白色,Ring,4.6,849,649.0,500,亚马逊官方(上月购买量),,,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CG2VF5NV,True
35,B07NSD6XW3,Nupec小型犬老年犬干粮2kg 1包,Nupec,4.9,2254,374.0,1000,亚马逊官方(上月购买量),2019-03-18,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07NSD6XW3,True
36,B07PY5FGR1,Cloralex宠物除臭剂 3.75升,Cloralex,4.8,2457,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
37,B0D81FZFBS,Ganador Premium 狗用鸡肉三文鱼湿粮,Ganador,4.6,106,187.6,600,亚马逊官方(上月购买量),2024-06-25,24,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D81FZFBS,True
38,B08NWZD6MS,Spring Blossoms - 专业2合1猫狗美容耙，轻松去除毛结和缠结，安全宠物刷（橙色）,Spring Blossoms,4.7,4194,262.23,500,亚马逊官方(上月购买量),2021-01-06,66,6,GoodHappens,第三方(中国),中国,中国/361000/福建/厦门市/205-11室之三/火炬高新区软件园二期观日路8号,FBA,https://www.amazon.com.mx/dp/B08NWZD6MS,True
39,B0B43X13C2,狗床，耐用，舒适，柔软填充，尺寸和颜色可选（中号，黑/灰）,PETS APPAREL HILLS,4.6,10345,399.0,100,亚马逊官方(上月购买量),2022-06-14,48,50,I Jacket,第三方(墨西哥),墨西哥,墨西哥/06090/墨西哥城/夸乌特莫克/内萨瓦尔科约特尔/158 公寓 202,FBA,https://www.amazon.com.mx/dp/B0B43X13C2,True
40,B09Y1R1GWL,宝路小型犬牛肉片口味湿粮包，天然成分，蛋白质和纤维，24包，每包100克,Pedigree,4.8,886,182.4,1000,亚马逊官方(上月购买量),2022-04-15,50,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09Y1R1GWL,True
41,B08QGK9PBK,Nupec 老年湿粮，白色与咖啡色,Nupec,4.8,1007,98.0,600,亚马逊官方(上月购买量),2020-12-13,67,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08QGK9PBK,True
42,B07GV57JYJ,PetLovers 450张粘毛纸套装 - 超粘粘毛滚筒，宠物除毛滚筒 - 5个装,PetLovers,4.7,36475,332.0,200,亚马逊官方(上月购买量),,,6,PetLovers MX,品牌方,,,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,True
43,B0088LIINY,Earth Rated 薰衣草香味狗狗粪便袋，120个装（8卷）,Earth Rated,4.9,199299,140.25,1000,亚马逊官方(上月购买量),,,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,True
44,B07FXZSFH3,Nupec 狗狗训练功能性零食 0.180kg 1包,Nupec,4.8,1307,85.0,800,亚马逊官方(上月购买量),2018-07-26,95,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07FXZSFH3,True
45,B00EJXIZ60,Earth Rated - 狗粪袋，120个装8卷无味,Earth Rated,4.9,16644,89.5,600,亚马逊官方(上月购买量),2014-02-23,148,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00EJXIZ60,True
46,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪 狗狗零食 无防腐剂无人工香精 幼犬成犬老年犬适用 10只装,Dogelthy,4.5,280,203.0,300,亚马逊官方(上月购买量),2024-08-23,22,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科州/萨波潘/圣胡安-德奥科坦/五月五日街15号内6,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
47,B07TGKCWWP,Dry Pet 狗用尿布 CH 码 12 片,Fancy Pets,4.5,1452,118.08,400,亚马逊官方(上月购买量),2019-06-25,84,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
48,B09232RF2N,完美感官老年犬粮3公斤,Perfect Sense,4.7,707,389.0,300,亚马逊官方(上月购买量),2019-09-17,81,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,True
49,B01M7NN6KX,Nupec PENU7135 - AAAAAA 狗狗牙齿护理零食，180克（包装可能不同）,Nupec,4.8,2955,85.0,900,亚马逊官方(上月购买量),2016-11-02,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M7NN6KX,True
50,B0GTX1919S,FIFA官方设计墨西哥款狗T恤 L号,FIFA,3.4,27,,750,评论数推算(评论率1.2%),2026-03-25,3,6,,,,,,https://www.amazon.com.mx/dp/B0GTX1919S,True
51,B0153V47YU,Nupec 小型犬幼犬狗粮，含维生素E和硒，2公斤装,Nupec,4.8,3151,314.0,900,亚马逊官方(上月购买量),2015-10-06,129,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
