排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B0CYXKNB1Y,MESVIER狗胸背带 大中小型犬通用 带1.5米牵引绳 可调节反光透气 防爆冲 遛狗旅行训练宠物配件,MESVIER,4.7,9668,219.12,300,亚马逊官方(上月购买量),2024-04-13,28,52,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
2,B0153V4AOM,Nupec狗粮，成年小型犬，含Omega-3和Omega-6，8公斤装,Nupec,4.8,15719,1109.79,4000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
3,B00NABTG60,Amazon Basics 狗狗粪便袋 带分配器 黑色 600只（40卷） 升级防漏 无香 含牵引绳夹扣,,4.9,235858,282.53,,,,,,,,,,,https://www.amazon.com.mx/dp/B00NABTG60,False
4,B07DCJ8B3S,高级成犬狗粮15kg,,4.8,1720,726.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B07DCJ8B3S,False
5,B09R93SSD5,普瑞纳 Beneful 成犬粮 全犬种 亮泽健康 三文鱼味 10公斤,Purina,4.8,4262,527.0,3000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
6,B0D43R8KKL,Fancy Pets MS 猫狗用三文鱼油250ml - Omega 3含DHA和EPA - 健康皮肤、亮泽毛发和强健免疫系统,Medical Solutions,4.5,2067,149.0,1000,亚马逊官方(上月购买量),2024-05-13,27,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
7,B01N30FXOM,普瑞纳 Dog Chow 成犬粮 迷你小型犬 牛肉鸡肉味 7.5kg,,4.8,4918,336.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01N30FXOM,False
8,B08JSG74RV,Ganador Premium Superfoods 20kg 成年中大型犬粮,Ganador,4.7,2906,1135.0,4000,亚马逊官方(上月购买量),2020-09-22,71,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
9,B07XZHXZW4,HI MULTI PRO 成年犬优质狗粮 25kg 含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6535,980.0,1000,亚马逊官方(上月购买量),2015-10-07,130,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/彭哈莫/KM 63 伊拉普阿托-拉彼达公路,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
10,B01MQFPHMN,Ganador 优质成犬粮 20kg 小型犬 黑色 包装可能不同,,4.7,2585,956.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01MQFPHMN,False
11,B0153V41AU,Nupec 成年犬狗粮含Omega 3和6 - 1包x15公斤,Nupec,4.8,7944,1728.96,2000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
12,B0153V49XO,Nupec 成年小型犬狗粮，含Omega 3和6，2公斤装,,4.8,8516,365.41,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V49XO,False
13,B0153V7ZTO,普瑞纳狗粮成犬中大型犬牛肉鸡肉味7.5公斤,Dog Chow,4.8,4124,336.0,2000,亚马逊官方(上月购买量),2016-11-24,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
14,B0B1W1ZZGQ,Churu Inaba 猫用奶油零食 混合4种金枪鱼口味 低卡 50支装（14g/支）,INABA,4.9,1581,667.0,2000,亚马逊官方(上月购买量),2023-10-29,34,18,Variedad Express Online,第三方(墨西哥),墨西哥,MX/31530/奇瓦瓦/夸乌特莫克/伊达尔戈 2354,FBA,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
15,B003CL6Q84,"Hill's Science Diet Small Mini Croquetas para Perro Adulto Sabor Pollo 7Kg | Croquetas Hill's para perro, pollo real, razas pequeñas, digestión saludable, sistema inmunológico fuerte",Hill's Science Diet,4.8,10746,1056.0,1000,亚马逊官方(上月购买量),2013-07-08,157,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
16,B09R916GQ3,Purina Beneful 成犬原味牛肉味 10kg,WeTap,4.8,2643,527.0,2000,亚马逊官方(上月购买量),2022-01-26,55,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
17,B0CDYQ5BRL,"Dog Chow Purina Multi Proteinas Adultos Todos los Tamaños Sabor Carne, Pollo, Salmón, Cerdo y Pavo 10Kg",Dog Chow,4.9,381,565.0,,,2023-08-07,36,1,,,,,,https://www.amazon.com.mx/dp/B0CDYQ5BRL,True
18,B0CF63JSS9,"Dogelthy 纯三文鱼油 犬用 Omega-3,6,9 | 每份含300毫克EPA和DHA 鱼油补充剂",,4.7,3037,579.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0CF63JSS9,False
19,B01N0AG6OF,Ganador Premium 幼犬粮 20kg，中型和大型犬种。包装可能有所不同。,,4.7,4785,909.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01N0AG6OF,False
20,B018M8AR90,Dry Pet 狗狗训练垫 30片,Dry Pet,4.6,3744,239.0,1000,亚马逊官方(上月购买量),2016-05-06,123,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
21,B0CF4BLG83,Dogelthy Mobility 犬用软骨保护粉剂 | 含葡萄糖胺、软骨素和II型胶原蛋白UCII，鱼肉味 270g,,4.6,2107,1067.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B0CF4BLG83,False
22,B01FKNX3FU,"Ganador Adulto, Razas Pequeñas, 20 kg, Azul",Ganador,4.8,1537,721.0,2000,亚马逊官方(上月购买量),2016-11-24,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
23,B0153V43UI,Nupec 成年犬粮，含Omega 3和6，5公斤装。,,4.8,4017,687.44,,,,,,,,,,,https://www.amazon.com.mx/dp/B0153V43UI,False
24,B07TGKCWWP,Fancy Pets 狗狗一次性纸尿裤 CH | 超强吸水 | 12片装 | 适用于失禁、训练和发情期 | 舒适可调节,Fancy Pets,4.5,1449,131.53,500,亚马逊官方(上月购买量),2019-06-25,86,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
25,B071HPBSHV,Amazon Basics公狗尿布，30片装，小号，超吸收一次性，安全贴合防漏舒适,Amazon Basics,4.5,32208,482.71,600,亚马逊官方(上月购买量),2017-10-23,106,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
26,B0CXYTC8WM,Ganador 犬用干粮 20kg,Ganador,4.7,1723,905.24,3000,亚马逊官方(上月购买量),2024-03-13,29,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
27,B0118VV13O,希尔思科学饮食狗狗训练零食 鸡肉味 90克 | 希尔思狗狗零食，健康消化，强免疫系统，含欧米伽-6和维生素E,Hill's,4.7,3893,110.0,500,亚马逊官方(上月购买量),2016-06-24,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
28,B07PY5FGR1,Cloralex宠物除味剂 3.75L,Cloralex,4.8,2496,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
29,B07L9JHXJR,荒野盛宴太平洋溪流狗粮 | 烟熏三文鱼为主原料，全犬期适用，专利益生菌助消化健康,Taste Of The Wild,4.7,6634,1399.0,700,亚马逊官方(上月购买量),2019-01-30,91,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07L9JHXJR,True
30,B01FVRF920,Barkys 80136100614 肉干条 1千克，1件，小号,,4.8,1573,259.0,,,,,,,,,,,https://www.amazon.com.mx/dp/B01FVRF920,False
31,B0BBSG79MX,宝路 - 高蛋白成犬粮，牛肉鸡肉味，24小袋，每袋85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1165,223.6,1000,亚马逊官方(上月购买量),2022-08-24,48,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
32,B01FUDI7F6,Nupec 犬用狗粮，高龄犬配方，15公斤装。,Nupec,4.8,5202,2040.88,800,亚马逊官方(上月购买量),2016-05-18,123,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7F6,True
