排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B07DCJ8B3S,胜者优级全价犬粮15kg,Ganador,4.8,1690,659.0,6000,亚马逊官方(上月购买量),2024-05-09,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
2,B08JSG74RV,赢家高级超级食品20kg，中大型成犬狗粮,Ganador,4.6,2907,899.0,5000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
3,B0153V4AOM,Nupec成年小型犬狗粮，含Omega-3和Omega-6，8kg装,Nupec,4.8,15729,1157.94,6000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
4,B00NABTG60,亚马逊基础系列 - 狗屎袋，带分配器，黑色，600个（40卷），改进设计确保无泄漏，无香，含牵引绳夹,Amazon Basics,4.9,235463,289.3,1000,亚马逊官方(上月购买量),2017-09-11,107,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
5,B01MQFPHMN,优胜优级成犬粮20kg，小型犬，黑色。包装可能有所不同。,Ganador,4.7,2589,901.94,4000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
6,B0B45W18MJ,MESVIER 中型大型小型犬背带牵引绳1.5米，可调节反光透气胸背带，防爆冲狗背带适合散步旅行训练狗狗配件,MESVIER,4.7,9593,249.0,200,亚马逊官方(上月购买量),2022-07-21,48,43,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0B45W18MJ,True
7,B0CXYTC8WM,胜者狗干粮20kg,Ganador,4.7,1705,718.67,5000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
8,B01N0AG6OF,Ganador Premium幼犬粮20公斤，中大型犬种。包装可能有所不同。,Ganador,4.7,4794,901.95,4000,亚马逊官方(上月购买量),2016-11-08,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
9,B09R916GQ3,普瑞纳宝路成犬牛肉味10公斤,WeTap,4.8,2657,474.0,2000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
10,B0153V49XO,Nupec 成年小型犬粮，含Omega 3和6，2公斤装,Nupec,4.8,8519,349.0,4000,亚马逊官方(上月购买量),2015-09-01,131,1,Biencomelon,第三方(墨西哥),墨西哥,墨西哥/72130/普埃布拉/英雄普埃布拉-德萨拉戈萨/拉利伯塔德/10西 913B,FBA,https://www.amazon.com.mx/dp/B0153V49XO,True
11,B0D43R8KKL,Fancy Pets MS 250ml 犬猫专用三文鱼油 - 含DHA和EPA的Omega-3 - 健康皮肤、亮丽毛色、强健免疫系统,Medical Solutions,4.5,2039,149.0,1000,亚马逊官方(上月购买量),2024-05-13,26,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
12,B0153V41AU,Nupec 成年狗粮含Omega 3和6 - 1包x15公斤,Nupec,4.8,7970,1728.48,3000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
13,B01N30FXOM,普瑞纳Dog Chow成犬迷你小型犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4919,336.0,3000,亚马逊官方(上月购买量),2017-01-24,114,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
14,B018M8AR90,Dry Pet 狗狗训练垫30片装,Dry Pet,4.6,3744,159.81,2000,亚马逊官方(上月购买量),2016-05-06,123,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
15,B09R93SSD5,普瑞纳宝路成年犬全犬种亮丽健康三文鱼味10公斤,Purina,4.8,4304,550.0,3000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
16,B0CF4BLG83,Dogelthy Mobility 软骨保护粉剂 狗用 | 含葡萄糖胺、软骨素和II型胶原蛋白UCII，鱼肉味 270克,Dogelthy,4.6,2099,824.25,1000,亚马逊官方(上月购买量),2023-08-09,36,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5 de Mayo #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
17,B0153V7ZTO,普瑞纳成年中大型犬狗粮牛肉鸡肉味7.5公斤,Dog Chow,4.8,4117,336.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
18,B0CF63JSS9,"Dogelthy 纯三文鱼油 狗用Omega 3,6,9 | 每份300mg EPA和DHA 鱼油补充剂",Dogelthy,4.7,3039,509.0,1000,亚马逊官方(上月购买量),2023-08-09,36,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5 de Mayo #15 内部6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
19,B01FKNX3FU,加纳多小型成犬粮20kg蓝,Ganador,4.8,1535,678.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
20,B07XZHXZW4,HI MULTI PRO 优质成犬粮 25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6547,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,130,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩纳莫/KM 63 公路 伊拉普阿托 - 拉彼达,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
21,B003CL6Q84,希尔思科学饮食成犬小型及迷你犬粮 鸡肉味 7kg，有助于构建长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25374,960.0,1000,亚马逊官方(上月购买量),2013-07-08,157,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
22,B0B1W1ZZGQ,Churu Inaba 猫条，混合4种金枪鱼口味，低卡路里，50支14g,INABA,4.9,1535,680.0,2000,亚马逊官方(上月购买量),2023-10-29,33,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
23,B0118VV13O,希尔思天然训练软嚼犬用零食，90克,Hill's,4.7,3895,82.5,500,亚马逊官方(上月购买量),2016-06-24,121,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,True
24,B082FPG754,Fancy Pets 一次性狗用尿垫 M号，超强吸水，12片装，适用于失禁、训练和发情期，舒适可调节,Fancy Pets,4.5,1452,131.53,400,亚马逊官方(上月购买量),2019-12-06,80,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B082FPG754,True
25,B071HPBSHV,Amazon Basics 公狗尿布，30片装，小号，超强吸水一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32208,364.9,600,亚马逊官方(上月购买量),2017-10-23,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
26,B01FVRF920,Barkys 肉干条 1公斤 小号,BARKYS,4.8,1567,199.0,1000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
27,B01N30FZTO,Purina Dog Chow 中型及大型犬幼犬粮 牛肉、鸡肉和水果味 7.5公斤,Dog Chow,4.8,2245,336.0,700,亚马逊官方(上月购买量),2019-05-25,86,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,True
28,B0153V44K2,Nupec 成年犬牛肉味狗粮 8千克（包装可能不同）,Nupec,4.8,4018,1039.86,600,亚马逊官方(上月购买量),2015-09-01,131,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V44K2,True
29,B0BBSG79MX,Pedigree - 高蛋白成犬粮，牛肉和鸡肉口味，24袋，每袋85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1149,223.6,2000,亚马逊官方(上月购买量),2022-08-24,47,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
30,B0153V4056,Nupec狗粮，成犬幼犬适用，含维生素E和硒，8kg装。,Nupec,4.8,9502,1094.0,300,亚马逊官方(上月购买量),2015-09-01,131,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4056,True
31,B0B43X13C2,耐用舒适狗床，柔软填充，尺寸颜色可选（中号，黑/灰）,PETS APPAREL HILLS,4.6,10398,399.2,100,亚马逊官方(上月购买量),2022-06-14,49,50,I Jacket,第三方(墨西哥),墨西哥,墨西哥/06090/墨西哥城/夸乌特莫克/内萨瓦尔科约特尔/158号 202室,FBA,https://www.amazon.com.mx/dp/B0B43X13C2,True
32,B07PY5FGR1,Cloralex宠物除异味 3.75L,Cloralex,4.8,2480,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
33,B09WXGR63N,战术狗项圈，加厚军用尼龙带手柄，可调节金属扣训练项圈，舒适（卡其色，L）,DAQI,4.7,940,165.44,200,亚马逊官方(上月购买量),2022-04-03,52,15,CHIYING,第三方(中国),中国,中国/06000/广东省/龙岗区/深圳市/坂田街道万科城社区新天下百瑞达大厦四层401室,FBA,https://www.amazon.com.mx/dp/B09WXGR63N,True
34,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5199,2184.93,1000,亚马逊官方(上月购买量),2016-05-18,122,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7F6,True
35,B075NBKBBR,西莎成年犬湿粮，牛肉原汁口味，24包装，每包75克,Cesar,4.7,798,220.0,200,亚马逊官方(上月购买量),2017-09-11,107,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B075NBKBBR,True
36,B0723HRWJW,Nature's Miracle 狗狗污渍和气味清除剂 - 946毫升 - 先进配方 - 清除最顽固污渍 - 中和气味 - 适用于家具、地毯、硬地板和织物,Nature's Miracle,4.4,23291,224.25,1000,亚马逊官方(上月购买量),2017-06-29,109,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0723HRWJW,True
37,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪狗零食 | 无防腐剂和人工香料，适合幼犬、成犬及老年犬，可作为零食和奖励。,Dogelthy,4.4,77,210.0,300,亚马逊官方(上月购买量),2024-08-23,23,5,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科州/萨波潘/圣胡安-德奥科坦/五月五日街15号内6,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,True
38,B0F96F3XWF,King Dog & Cat 宠物训练垫 40片 60x60厘米 6层超强吸水卫生垫,King Dog & Cat,4.7,9,285.0,1000,亚马逊官方(上月购买量),,,1,Zeitex,第三方(墨西哥),墨西哥,MX/52764/MEXICO/HUIXQUILUCAN DE DEGOLLADO/AVENIDA JESUS DEL MONTE 39 PISO 2B JESUS DEL MONTE,FBA,https://www.amazon.com.mx/dp/B0F96F3XWF,True
39,B016C6EOO8,亚马逊倍思宠物尿垫，5层防漏速干，训练用，超大号71x86厘米，60片装，蓝白色,Amazon Basics,4.5,216943,621.04,300,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B016C6EOO8,True
40,B01FUDI7OC,Nupec犬粮，体重控制，针对超重或肥胖犬只的营养配方，15公斤装。,Nupec,4.8,3938,2179.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,Selectashop,第三方(墨西哥),墨西哥,墨西哥/01729/墨西哥城/墨西哥城/阿尔坎塔里利亚/德西埃托德洛斯莱昂内斯 5547 INT B605,,https://www.amazon.com.mx/dp/B01FUDI7OC,True
41,B01M8G9HYE,Nupec PENU7138 - AAAAAA 狗狗放松零食，180克（包装可能不同）,Nupec,4.6,5435,113.0,1000,亚马逊官方(上月购买量),2016-11-02,117,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,True
42,B0BQTFBXHP,Hill's Science Diet 老年犬小颗粒狗粮 7岁以上 鸡肉糙米味 6.8kg,Hill's Science Diet,4.7,478,1152.0,900,亚马逊官方(上月购买量),2022-12-22,43,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BQTFBXHP,True
43,B0CK32S653,Waggys 三文鱼小食 天然无谷物犬用零食 100粒,Waggys,4.6,641,189.0,1000,亚马逊官方(上月购买量),2023-09-28,34,2,Waggy´s!,品牌方(墨西哥),墨西哥,墨西哥/44520/哈利斯科/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
44,B08NWZD6MS,Spring Blossoms - 专业2合1猫狗美容耙，轻松去除毛团和缠结的梳子，安全宠物刷（橙色）,Spring Blossoms,4.7,4277,297.99,800,亚马逊官方(上月购买量),2021-01-06,67,5,GoodHappens,第三方(中国),中国,中国/361000/福建/厦门市/205-11室之三/火炬高新区软件园二期观日路8号,FBA,https://www.amazon.com.mx/dp/B08NWZD6MS,True
45,B0CDYWTMRM,普瑞纳冠能成年犬全犬种牛肉鸡肉味18公斤,Dog Chow,4.7,549,720.0,500,亚马逊官方(上月购买量),2023-08-07,36,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CDYWTMRM,True
46,B0CF64R8Y1,Dogelthy 狗用肠胃辅助益生元益生菌补充剂 | 每勺含超过30亿CFU,Dogelthy,4.6,1173,641.0,200,亚马逊官方(上月购买量),2023-08-09,36,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF64R8Y1,True
47,B0855ND74T,PetLovers 600张装粘毛滚筒 超粘除毛器 宠物毛发滚筒 6件套,PetLovers,4.8,359,364.04,300,亚马逊官方(上月购买量),,,4,PetLovers MX,品牌方(美国),美国,美国/33702/佛罗里达/圣彼得堡/7901 第四北街 300室,FBA,https://www.amazon.com.mx/dp/B0855ND74T,True
48,B0971C67PW,Purina Fancy Feast 珍致成猫牛肉味小块肉片85g*12包,WeTap,4.7,415,204.0,1000,亚马逊官方(上月购买量),2021-06-10,62,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0971C67PW,True
49,B0153V47YU,Nupec狗粮，小型犬幼犬专用，含维生素E和硒，2千克装。,Nupec,4.8,3169,401.0,1000,亚马逊官方(上月购买量),2015-10-06,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V47YU,True
