排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B07DCJ8B3S,冠军优选成犬干粮15kg,Ganador,4.8,1731,726.0,4000,亚马逊官方(上月购买量),2024-05-09,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
2,B0153V4AOM,Nupec小型成犬粮，含Omega3和6，8kg装,,4.8,15717,1134.36,,,,,1,,,,,,https://www.amazon.com.mx/dp/B0153V4AOM,False
3,B0CXYTC8WM,Ganador 干狗粮 20kg,,4.7,1727,680.0,,,,,1,,,,,,https://www.amazon.com.mx/dp/B0CXYTC8WM,False
4,B00NABTG60,Amazon Basics - 狗便袋，带分配器，黑色，600只（40卷），升级防漏，无香，附牵引绳夹,Amazon Basics,4.9,235981,262.87,2000,亚马逊官方(上月购买量),2017-09-11,108,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
5,B0CYXKNB1Y,MESVIER 狗狗胸背带 大中小型犬通用 带1.5米牵引绳 可调节反光透气 防爆冲 遛狗旅行训练配件,MESVIER,4.7,9694,249.0,300,亚马逊官方(上月购买量),2024-04-13,28,51,MESVIER,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
6,B01MQFPHMN,Ganador Premium 成犬粮 20 kg，小型犬种，黑色。包装可能不同。,Ganador,4.7,2589,919.0,3000,亚马逊官方(上月购买量),2016-11-08,118,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B09R93SSD5,普瑞纳宝能成犬粮 全犬种 三文鱼味 美毛亮泽 10kg,,4.8,4263,527.0,,,,,1,,,,,,https://www.amazon.com.mx/dp/B09R93SSD5,False
8,B08JSG74RV,Ganador Premium Superfoods 20kg 中大型犬成犬粮,,4.7,2894,1135.0,,,,,1,,,,,,https://www.amazon.com.mx/dp/B08JSG74RV,False
9,B0153V49XO,Nupec 小型成犬粮，含Omega-3和Omega-6，2kg装。,Nupec,4.8,8516,365.36,3000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
10,B01N0AG6OF,Ganador 优质幼犬粮 20kg，适合中大型犬。包装可能不同。,,4.7,4789,909.0,,,,,1,,,,,,https://www.amazon.com.mx/dp/B01N0AG6OF,False
11,B01N30FXOM,Purina Dog Chow 成犬小型犬粮 鸡肉牛肉味 7.5公斤,Dog Chow,4.8,4913,336.0,3000,亚马逊官方(上月购买量),2017-01-24,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
12,B07XZHXZW4,HI MULTI PRO 成年犬高端狗粮 25kg 含益生菌和高生物价值蛋白质,,4.6,6533,1154.0,,,,,1,,,,,,https://www.amazon.com.mx/dp/B07XZHXZW4,False
13,B0153V41AU,Nupec 成犬粮 含Omega3和6 15kg/包,Nupec,4.8,7941,1729.0,2000,亚马逊官方(上月购买量),2015-09-01,132,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
14,B0D43R8KKL,Fancy Pets MS 三文鱼油 250ml 犬猫专用，含Omega-3 DHA EPA，健康皮肤、亮泽毛发、强健免疫系统,Medical Solutions,4.5,2079,149.0,1000,亚马逊官方(上月购买量),2024-05-13,27,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
15,B0B1W1ZZGQ,伊纳宝 Churu 猫用奶油零食，混合4种金枪鱼口味，低卡路里，50支（14g/支）,INABA,4.9,1594,667.0,2000,亚马逊官方(上月购买量),2023-10-29,34,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
